date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:31:21	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-81a1ddb549776aa9;gz%22	https://print-pro.store/robots.txt		(from )
02:31:21	39833/39833	---M-Z	200	added ('OK')	text/html	etag:%229b99-69dd66d0-cce43c8d923acce4;gz%22	https://print-pro.store/printer/	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/index.html	(from )
02:31:22	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/all%20printer/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://print-pro.store/printer/)
02:31:22	64772/64772	---M--	200	added ('OK')	image/png	etag:093bf176da6fbb3664f8c0cdf8fd0e67	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HP_logo_2012.svg/1200px-HP_logo_2012.svg.png	C:/My%20Web%20Sites/all%20printer/upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HP_logo_2012.svg/1200px-HP_logo_2012.svg.png	(from https://print-pro.store/printer/)
02:31:22	9563/9563	---M-Z	200	added ('OK')	text/html	etag:%22255b-69dd66d0-5861219ea61e9a19;gz%22	https://print-pro.store/printer/hp.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/hp.html	(from https://print-pro.store/printer/)
02:31:23	39648/39648	---M--	200	added ('OK')	image/png	etag:64228fd6dfc8ad29549be2abc8bf62dd	https://upload.wikimedia.org/wikipedia/commons/3/3f/Canon_logo_vector.png	C:/My%20Web%20Sites/all%20printer/upload.wikimedia.org/wikipedia/commons/3/3f/Canon_logo_vector.png	(from https://print-pro.store/printer/)
02:31:23	6241/6241	---M-Z	200	added ('OK')	text/html	etag:%221861-69dd66d0-7eff869c055907b9;gz%22	https://print-pro.store/printer/canon.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/canon.html	(from https://print-pro.store/printer/)
02:31:24	28204/28204	---M--	200	added ('OK')	image/png	etag:b24d6f405fb66fc70f82834a407e2ea6	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Epson_logo.svg/1280px-Epson_logo.svg.png	C:/My%20Web%20Sites/all%20printer/upload.wikimedia.org/wikipedia/commons/thumb/5/59/Epson_logo.svg/1280px-Epson_logo.svg.png	(from https://print-pro.store/printer/)
02:31:24	9742/9742	---M-Z	200	added ('OK')	text/html	etag:%22260e-69dd66d0-ca0de3bce46a0764;gz%22	https://print-pro.store/printer/epson.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/epson.html	(from https://print-pro.store/printer/)
02:31:25	9625/9625	---M-Z	200	added ('OK')	text/html	etag:%222599-69dd66cf-18e2b3a032c6eb54;gz%22	https://print-pro.store/printer/brother.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/brother.html	(from https://print-pro.store/printer/)
02:31:25	47255/47255	---M--	200	added ('OK')	image/png	etag:CIqPn6uP1IcDEAE=	https://images.squarespace-cdn.com/content/v1/66a9078e84a6b71f9551152f/8e526ac0-7a64-4af9-b934-b35539f146ef/OTHER-Wordmark-Black-RGB.png	C:/My%20Web%20Sites/all%20printer/images.squarespace-cdn.com/content/v1/66a9078e84a6b71f9551152f/8e526ac0-7a64-4af9-b934-b35539f146ef/OTHER-Wordmark-Black-RGB.png	(from https://print-pro.store/printer/)
02:31:26	9615/9615	---M-Z	200	added ('OK')	text/html	etag:%22258f-69dd66d1-e2d40739a0cc811e;gz%22	https://print-pro.store/printer/other.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/other.html	(from https://print-pro.store/printer/)
02:31:27	45535/45535	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202026%2015:00:44%20GMT	https://123.hp.com/resources/printer_images/DJ2620/290x245.png	C:/My%20Web%20Sites/all%20printer/123.hp.com/resources/printer_images/DJ2620/290x245.png	(from https://print-pro.store/printer/)
02:31:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Apr%202026%2021:01:25%20GMT	https://store.hp.com/app/assets/images/uploads/prod/how-to-update-printer-settings-for-highest-quality-printing-hero1561055275517343.jpg	C:/My%20Web%20Sites/all%20printer/store.hp.com/app/assets/images/uploads/prod/how-to-update-printer-settings-for-highest-quality-printing-hero1561055275517343.b.delayed	(from https://print-pro.store/printer/hp.html)
02:33:29	23906/23906	---M-Z	200	added ('OK')	text/html	etag:%225d62-69dd66d1-4eed93baf33df4c1;gz%22	https://print-pro.store/printer/loading.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/loading.html	(from https://print-pro.store/printer/hp.html)
02:33:31	16086/16086	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202026%2015:00:44%20GMT	https://123.hp.com/resources/assets/img/printer_icon_gray.png	C:/My%20Web%20Sites/all%20printer/123.hp.com/resources/assets/img/printer_icon_gray.png	(from https://print-pro.store/printer/hp.html)
02:33:32	6011/6011	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202026%2015:00:44%20GMT	https://123.hp.com/resources/assets/img/app_store/android/en.png	C:/My%20Web%20Sites/all%20printer/123.hp.com/resources/assets/img/app_store/android/en.png	(from https://print-pro.store/printer/hp.html)
02:33:33	307165/307165	---M--	200	added ('OK')	image/png	etag:%22c62c82fa4b7ff3e5%22	https://i0.wp.com/www.alphr.com/wp-content/uploads/2022/06/What-Is-the-Default-Password-for-Brother-Printer.png?fit=867%2C674&ssl=1	C:/My%20Web%20Sites/all%20printer/i0.wp.com/www.alphr.com/wp-content/uploads/2022/06/What-Is-the-Default-Password-for-Brother-Printerd62c.png	(from https://print-pro.store/printer/brother.html)
02:33:33	24600/24600	---M--	200	added ('OK')	image/png	etag:%2272af256e2303b3544585a8e00a5bd3d8%22	https://static.vecteezy.com/system/resources/thumbnails/045/617/975/small/a-white-printer-with-a-black-handle-and-a-white-paper-tray-png.png	C:/My%20Web%20Sites/all%20printer/static.vecteezy.com/system/resources/thumbnails/045/617/975/small/a-white-printer-with-a-black-handle-and-a-white-paper-tray-png.png	(from https://print-pro.store/printer/other.html)
02:33:34	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22119f-68074818-b8644a7229b2f42b;;;%22	https://bluechipitservices.com/public/services/service-printer-setup.png	C:/My%20Web%20Sites/all%20printer/bluechipitservices.com/public/services/service-printer-setup.12.delayed	(from https://print-pro.store/printer/loading.html)
02:33:35	23732/23732	---M-Z	200	added ('OK')	text/html	etag:%225cb4-69dd66d0-585d87a2e5bb5489;gz%22	https://print-pro.store/printer/error.html	C:/My%20Web%20Sites/all%20printer/print-pro.store/printer/error.html	(from https://print-pro.store/printer/loading.html)
02:34:00	44193/44193	---MCZ	200	added ('OK')	image/png	etag:W/%225beef82b-aca1%22	https://www.nicepng.com/png/detail/135-1358116_error-png.png	C:/My%20Web%20Sites/all%20printer/www.nicepng.com/png/detail/135-1358116_error-png.png	(from https://print-pro.store/printer/error.html)
